n,s,t,fw_obj,fw_gap,fw_k,fw_runtime,fwls_obj,fwls_gap,fwls_k,fwls_runtime,simplex_obj,spectral_bound_val
63,20,1,1.0722744483947424,0.0009633429123108702,26.0,0.0230232,1.0732373275900577,1.7965009565911227e-16,2.0,0.0419928,1.073237327590058,0.4299682037206889
63,20,2,0.7808200416260399,0.0009511798821656507,37.0,0.0368411,0.7817709953941012,3.5544228097229606e-16,2.0,0.0789181,0.7817709953941016,-0.039271912708344625
63,20,3,-0.012657170371505138,0.0009586561489460506,45.0,0.0536194,-0.011698667360206534,5.274995062923232e-16,2.0,0.0617831,-0.011698667360205531,-0.6544762944575372
63,20,4,-1.1670455067225978,0.0009615662630762758,50.0,0.0576526,-1.1660840844085925,6.5898263143303065e-16,2.0,0.0400293,-1.166084084408591,-1.8970129958084523
63,20,5,-2.627582910635333,0.0009744810847756668,54.0,0.0423663,-2.62664828347322,4.960819892683362e-5,5.0,0.0720548,-2.6288955609911215,-3.2213915142571166
63,20,6,-4.307501738103767,0.0009633453212576526,58.0,0.0629323,-4.306540901759335,7.298288165339963e-6,3.0,0.0702014,-4.321233488358761,-4.677377350421656
63,20,7,-6.181574707960188,0.0009709304631729964,62.0,0.0692867,-6.180661874351416,2.5789815485247214e-8,3.0,0.0800335,-6.221730993785539,-6.329085777016917
63,20,8,-8.21861681739554,0.0007707183715734663,72.0,0.0739666,-8.218459482579549,0.0008733726750135972,7.0,0.0740776,-8.287809407908544,-8.01096249194004
63,20,9,-10.386003070214397,0.0009203749066702064,76.0,0.0749729,-10.385864720868868,0.000826255632201898,16.0,0.1467551,-10.487055538816316,-9.787464773426128
63,20,10,-12.659267020903334,0.0008101356797086614,81.0,0.0739232,-12.65917506195898,0.0009681836561827642,34.0,0.3233642,-12.807601844177869,-11.656328929990401
63,20,11,-15.0308116313634,0.000992394754788809,91.0,0.1170797,-15.03092124338893,0.0009702107069193355,44.0,0.4028348,-15.23297329155666,-13.61139457129924
63,20,12,-17.49051414871272,0.0009427010311354147,92.0,0.0732598,-17.49041733354443,0.0008750086375405063,31.0,0.317411,-17.751671285162526,-15.596719659230539
63,20,13,-20.030604128448097,0.0009774602007997953,111.0,0.099246,-20.030238783037998,0.000958474429205563,18.0,0.1957684,-20.35682250244053,-17.65888466905406
63,20,14,-22.63797868762081,0.0009818972734243455,142.0,0.1214009,-22.638276434038744,0.0009033259335942906,117.0,1.2082962,-23.046477767100768,-19.74714859574056
63,20,15,-25.314756997616968,0.000668136478938142,175.0,0.1494243,-25.31502963279428,0.0009331749828168526,87.0,0.8073126,-25.8159603747033,-21.841289542111998
63,20,16,-28.059481537019458,0.0009504008337352165,236.0,0.2133186,-28.059955422954623,0.0008902031061168947,153.0,1.6213614,-28.66529407672829,-23.992578775709514
63,20,17,-30.8650601055262,0.0007803917329569008,287.0,0.2641191,-30.865552456825455,0.0009921160231777069,223.0,2.2634925,-31.590127613330502,-26.19035680841775
63,20,18,-33.728689658018496,0.0009916703695637783,443.0,0.4248183,-33.729243527391056,0.0009400135225415657,444.0,4.9520879,-34.58850452547543,-28.451982636041915
63,20,19,-36.64621805660147,0.0008693343234270605,564.0,0.6004937,-36.64678084683247,0.000951793956098135,665.0,7.9230609,-37.65408000555386,-30.732604710826063
63,20,20,-39.615784137200706,0.0008581226041896587,709.0,0.6001679,-39.61639877771644,0.0009845603475724422,836.0,12.1563289,-40.839160141983434,-33.03196196176974
