n,s,t,tau,fw_obj,fw_runtime,spectral_bound_val
63,20,1,0.0,1.2597971876492506,0.022956,0.4299682037206888
63,20,1,0.00032066303456784853,1.258067151608549,0.0206842,0.4299682037206889
63,20,1,0.0006413260691356971,1.2563341173553808,0.0331374,0.4299682037206886
63,20,1,0.0009619891037035455,1.2545980744796899,0.0309618,0.4299682037206889
63,20,1,0.0012826521382713941,1.252859012517109,0.0193939,0.42996820372068906
63,20,1,0.0016033151728392426,1.2511169209485808,0.0175152,0.4299682037206895
63,20,1,0.001923978207407091,1.249371789199977,0.0198526,0.4299682037206886
63,20,1,0.0022446412419749396,1.2476236066417135,0.0248716,0.42996820372068906
63,20,1,0.0025653042765427883,1.245872362588359,0.0344602,0.4299682037206888
63,20,1,0.0028859673111106365,1.2441180462982468,0.0265484,0.4299682037206886
63,20,1,0.003206630345678485,1.2423606469730792,0.0194388,0.4299682037206889
63,20,1,0.0035272933802463335,1.2406001537575237,0.0178066,0.42996820372068834
63,20,1,0.003847956414814182,1.238836555738819,0.0284641,0.42996820372068834
63,20,1,0.004168619449382031,1.237069841946361,0.0218572,0.4299682037206888
63,20,1,0.004489282483949879,1.2353000013512987,0.0195501,0.4299682037206886
63,20,1,0.004809945518517727,1.2335270228661184,0.0182795,0.42996820372068834
63,20,1,0.0051306085530855765,1.2317508953442282,0.0187105,0.4299682037206886
63,20,1,0.005451271587653425,1.2299716075795377,0.0190459,0.42996820372068906
63,20,1,0.005771934622221273,1.228189148306033,0.0185899,0.4299682037206886
63,20,1,0.006092597656789122,1.2264035061973482,0.0178675,0.4299682037206888
63,20,1,0.00641326069135697,1.2246146698663345,0.0195851,0.4299682037206888
63,20,1,0.006733923725924819,1.2228226278646253,0.0188998,0.4299682037206888
63,20,1,0.007054586760492667,1.2210273686821946,0.0269148,0.42996820372068906
63,20,1,0.007375249795060516,1.2192288807469152,0.0246751,0.42996820372068917
63,20,1,0.007695912829628364,1.2174271524241091,0.0182925,0.42996820372068933
63,20,1,0.008016575864196213,1.2156221720160991,0.0190296,0.4299682037206888
63,20,1,0.008337238898764062,1.2138139277617488,0.0299335,0.4299682037206886
63,20,1,0.008657901933331909,1.212002407836007,0.0187392,0.42996820372068933
63,20,1,0.008978564967899758,1.2101876003494416,0.0300195,0.4299682037206888
63,20,1,0.009299228002467607,1.2083694933477704,0.0326799,0.4299682037206888
63,20,1,0.009619891037035455,1.2065480748113921,0.0204867,0.4299682037206886
63,20,1,0.009940554071603304,1.2047233326549047,0.032755,0.42996820372068806
63,20,1,0.010261217106171153,1.202895254726629,0.0190473,0.4299682037206886
63,20,1,0.010581880140739,1.2010638288081208,0.0191351,0.4299682037206889
63,20,1,0.01090254317530685,1.1992290426136796,0.017928,0.4299682037206889
63,20,1,0.011223206209874699,1.197390883789858,0.0181905,0.4299682037206886
63,20,1,0.011543869244442546,1.1955493399149584,0.0200641,0.4299682037206886
63,20,1,0.011864532279010395,1.1937043984985316,0.0407556,0.4299682037206888
63,20,1,0.012185195313578244,1.191932972968921,0.0233771,0.4299682037206886
63,20,1,0.012505858348146092,1.1900813412965823,0.0194129,0.4299682037206886
63,20,1,0.01282652138271394,1.1882262747232397,0.0198026,0.42996820372068906
63,20,1,0.01314718441728179,1.1863677604812601,0.0196535,0.4299682037206888
63,20,1,0.013467847451849637,1.1845057857316919,0.0203561,0.4299682037206889
63,20,1,0.013788510486417487,1.1826403375637329,0.0209828,0.4299682037206888
63,20,1,0.014109173520985334,1.180771402994192,0.0191376,0.42996820372068917
63,20,1,0.014429836555553183,1.1788989689669482,0.026555,0.4299682037206886
63,20,1,0.014750499590121032,1.1770230223524019,0.0332177,0.4299682037206888
63,20,1,0.01507116262468888,1.175143549946924,0.0188007,0.42996820372068817
63,20,1,0.015391825659256729,1.1732605384722956,0.0190383,0.42996820372068845
63,20,1,0.015712488693824578,1.1713739745751501,0.0185341,0.42996820372068845
63,20,1,0.016033151728392425,1.1694838448264,0.019502,0.4299682037206895
63,20,1,0.016353814762960273,1.167590135720666,0.0309264,0.4299682037206888
63,20,1,0.016674477797528123,1.1656928336756978,0.020679,0.42996820372068906
63,20,1,0.01699514083209597,1.1637919250317874,0.0249762,0.4299682037206889
63,20,1,0.017315803866663818,1.1618873960511835,0.0208522,0.4299682037206888
63,20,1,0.01763646690123167,1.159979232917491,0.0213542,0.42996820372068806
63,20,1,0.017957129935799516,1.158067421735073,0.0195606,0.4299682037206889
