n,s,t,fw_obj,fw_gap,fw_k,fw_runtime,fwls_obj,fwls_gap,fwls_k,fwls_runtime,asfw_obj,asfw_gap,asfw_k,asfw_runtime,asfwls_obj,asfwls_gap,asfwls_k,asfwls_runtime,pwfw_obj,pwfw_gap,pwfw_k,pwfw_runtime,pwfwls_obj,pwfwls_gap,pwfwls_k,pwfwls_runtime,spectral_bound_val
63,40,1,1.5459271747926002,0.0009589728854541022,19,0.0494544,1.5468856881573116,1.258142908379614e-16,2,0.0455327,1.5468856881573105,8.512784550015118e-16,3,0.0025269,1.5468856881573116,5.667299548137932e-31,3,0.3714234,1.5468856881573116,0.0,3,0.0058034,1.5468856881573114,0.0,2,0.0700933,0.4299682037206888
63,40,2,1.7199925796546662,0.000957115010333499,27,0.0219789,1.7209494657207542,2.499392511107771e-16,2,0.072836,1.7209494657207531,1.5594795249850451e-15,3,0.0025236,1.7209494657207542,1.4050053559783287e-30,3,0.0993652,1.7209494657207542,0.0,3,0.0026232,1.7209494657207538,0.0,2,0.0440858,-0.03927191270834257
63,40,3,1.3841417356238221,0.0009607483995418962,33,0.0292997,1.3851023302166188,3.72408678322932e-16,2,0.0513646,1.3851023302166179,2.320156074845725e-15,3,0.002546,1.38510233021662,2.1222355589990075e-30,3,0.0929965,1.38510233021662,0.0,3,0.0026579,1.38510233021662,0.0,2,0.0423955,-0.654476294457536
63,40,4,0.7185563215126733,0.0009525537360557493,38,0.029614,0.7195087497569491,4.890568585933184e-16,2,0.0418348,0.7195087497569471,3.64863861370728e-15,3,0.002846,0.7195087497569503,3.452328640208064e-30,3,0.1294968,0.7195087497569503,0.0,3,0.0048427,0.719508749756949,0.0,2,0.0598682,-1.897012995808448
63,40,5,-0.23882966617241466,0.0009874090567095753,41,0.0334068,-0.23808409642716516,0.0009051922569458899,2,0.0400567,-0.23808409642716888,0.0009051922569494633,3,0.0021249,-0.23801092059300974,0.0007206815459778609,3,0.0736935,-0.2378776624866642,0.0003377202762751136,3,0.0021503,-0.23801092059301196,0.0007206815459777499,2,0.0398103,-3.2213915142571157
63,40,6,-1.4260199926858281,0.0009604918760156858,45,0.0387715,-1.4250595954866772,6.970594166779189e-16,2,0.04093,-1.425059595486681,2.477065544939072e-15,3,0.0019614,-1.425059595486678,5.264459208679592e-30,3,0.0705145,-1.425059595486678,0.0,3,0.0024166,-1.425059595486681,0.0,2,0.0394077,-4.67737735042166
63,40,7,-2.795703942881918,0.0009764790140747266,48,0.0521887,-2.7948479123793377,0.0005121673287622109,2,0.0557075,-2.7949600759560607,0.0007100876814567293,3,0.0019498,-2.7948116330462778,0.00040892253043262397,6,0.1514562,-2.794802954974729,0.000695058312905561,4,0.0026377,-2.794792391904974,0.0005774363952367745,5,0.0829705,-6.329085777016916
63,40,8,-4.317589519360853,0.0009684730570688803,51,0.0386322,-4.316789021906558,0.000689122900751321,4,0.1057238,-4.317152468836955,0.0009762187127362321,6,0.0090886,-4.316789021906558,0.0006891229007514315,6,0.1987794,-4.316641216939623,0.00029268222957856693,7,0.0109087,-4.316911607826571,0.0009285415303887934,2,0.0624681,-8.010962491940047
63,40,9,-5.9811958526853,0.0009581012609299804,55,0.0618687,-5.980397222353026,0.00026668490394608503,5,0.0674335,-5.980361482725638,0.0004883225949820803,7,0.0123714,-5.9804180394094555,0.00045851388514488167,7,0.1573287,-5.98039342499668,0.000994871786238971,13,0.0112042,-5.980305837939582,0.0002157275095194533,8,0.1172947,-9.787464773426128
63,40,10,-7.762079698497386,0.000925326174195805,57,0.0470156,-7.761498520678989,0.0007787817492355329,5,0.0679409,-7.761237662560372,0.0006641180862135456,10,0.0078139,-7.7612309241749395,0.0005246694144319688,12,0.4070023,-7.7611865106987885,0.0006435827394428439,8,0.0067823,-7.761171565432731,0.00016739277978972122,11,0.2489805,-11.656328929990401
